CNPJ/CPF Remetente;Remetente;CNPJ/CPF Destinatario;Destinatario;CTRC;Nota Fiscal/Nro Coleta;Nro Pedido;Data Inclusao;Cidade Destino;UF Destino;Unidade;Data/Hora da Ocorrencia;Situacao;Empresa;Detalhe;Data Entrega;Previsao de Entrega;CTe
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;33.804.212/0001-80;CLINICA SAO CARLOS S.A.;7141772040;1 110878;;13/09/22;RIO DE JANEIRO;RJ;RIO DE JANEIRO / RJ;14/09/22 10:13;SAIDA PARA ENTREGA;AGB;Saida para entrega na cidade de RIO DE JANEIRO.;;15/09/22;32220908860184000171570020001765911005322975 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;33.804.212/0001-80;CLINICA SAO CARLOS S.A.;7141772040;1 110879;;13/09/22;RIO DE JANEIRO;RJ;RIO DE JANEIRO / RJ;14/09/22 10:13;SAIDA PARA ENTREGA;AGB;Saida para entrega na cidade de RIO DE JANEIRO.;;15/09/22;32220908860184000171570020001765911005322975 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;28.360.001/0001-66;HOSPITAL CASA HOSPITAL DO CANCER - HCHC ADMINISTRACAO E GEST;7141772091;1 110848;;13/09/22;RIO DE JANEIRO;RJ;RIO DE JANEIRO / RJ;14/09/22 10:12;SAIDA PARA ENTREGA;AGB;Saida para entrega na cidade de RIO DE JANEIRO.;;15/09/22;32220908860184000171570020001765851005323028 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;00.394.429/0174-29;COMANDO DA AERONAUTICA;7141730959;1 110645;;06/09/22;RIO DE JANEIRO;RJ;CARIACICA / ES;14/09/22 09:24;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001724811005194918</u></a> - VIA API.;08/09/22;09/09/22;32220908860184000171570020001724811005194918 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;00.394.429/0174-29;COMANDO DA AERONAUTICA;7141730959;1 110644;;06/09/22;RIO DE JANEIRO;RJ;CARIACICA / ES;14/09/22 09:24;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001724811005194918</u></a> - VIA API.;08/09/22;09/09/22;32220908860184000171570020001724811005194918 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;00.394.429/0174-29;COMANDO DA AERONAUTICA;7141730959;1 110646;;06/09/22;RIO DE JANEIRO;RJ;CARIACICA / ES;14/09/22 09:24;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001724811005194918</u></a> - VIA API.;08/09/22;09/09/22;32220908860184000171570020001724811005194918 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;14.328.622/0001-58;AMO RECONCAVO ASSISTENCIA MULTIDISCIPLINAR EM ONCOLOGIA;7141656139;1 110080;;26/08/22;SANTO ANTONIO DE JESUS;BA;CARIACICA / ES;14/09/22 08:33;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001650251004965177</u></a> - VIA API.;30/08/22;31/08/22;32220808860184000171570020001650251004965177 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;29.141.322/0001-32;MUNICIPIO DE PIRAI;7141628887;1 109916;;23/08/22;PIRAI;RJ;CARIACICA / ES;14/09/22 08:14;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001623551004880513</u></a> - VIA API.;26/08/22;26/08/22;32220808860184000171570020001623551004880513 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;05.816.630/0001-52;LABORATORIO CENTRAL DE SAUDE PUBLICA PROFESSOR GONCALO MONIZ;7141760254;1 110755;;12/09/22;SALVADOR;BA;SALVADOR / BA;14/09/22 07:50;SAIDA PARA ENTREGA;AGB;Saida para entrega na cidade de SALVADOR.;;15/09/22;32220908860184000171570020001753531005284988 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;33.804.212/0001-80;CLINICA SAO CARLOS S.A.;7141720911;1 110562;;05/09/22;RIO DE JANEIRO;RJ;CARIACICA / ES;14/09/22 07:49;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001715531005162915</u></a> - VIA API.;06/09/22;08/09/22;32220908860184000171570020001715531005162915 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;60.922.168/0003-48;ASSOCIACAO CONGREGACAO DE SANTA CATARINA;7141720791;1 110524;;05/09/22;RIO DE JANEIRO;RJ;CARIACICA / ES;14/09/22 07:49;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001715621005162558</u></a> - VIA API.;06/09/22;08/09/22;32220908860184000171570020001715621005162558 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;15.126.437/0035-92;EMPRESA BRASILEIRA DE SERV HOSPITALARES;7141720953;1 110552;;05/09/22;RIO DE JANEIRO;RJ;CARIACICA / ES;14/09/22 07:49;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001715491005162998</u></a> - VIA API.;06/09/22;08/09/22;32220908860184000171570020001715491005162998 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;13.808.803/0001-19;PROMEDICA PATRIMONIAL S A PROPAT;7141760297;1 110753;;12/09/22;SALVADOR;BA;SALVADOR / BA;14/09/22 07:48;CHEGADA EM UNIDADE;AGB;Chegada na unidade SALVADOR em 14/09/22, 07:48h.;;15/09/22;32220908860184000171570020001753511005285050 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;13.420.617/0003-70;GEM ASSISTENCIA MEDICA ESPECIALIZADA SA;7141760483;1 110748;;12/09/22;SALVADOR;BA;SALVADOR / BA;14/09/22 07:48;CHEGADA EM UNIDADE;AGB;Chegada na unidade SALVADOR em 14/09/22, 07:48h.;;15/09/22;32220908860184000171570020001753761005285660 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;13.420.617/0003-70;GEM ASSISTENCIA MEDICA ESPECIALIZADA SA;7141760483;1 110750;;12/09/22;SALVADOR;BA;SALVADOR / BA;14/09/22 07:48;CHEGADA EM UNIDADE;AGB;Chegada na unidade SALVADOR em 14/09/22, 07:48h.;;15/09/22;32220908860184000171570020001753761005285660 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;13.420.617/0003-70;GEM ASSISTENCIA MEDICA ESPECIALIZADA SA;7141760483;1 110751;;12/09/22;SALVADOR;BA;SALVADOR / BA;14/09/22 07:48;CHEGADA EM UNIDADE;AGB;Chegada na unidade SALVADOR em 14/09/22, 07:48h.;;15/09/22;32220908860184000171570020001753761005285660 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;13.808.803/0001-19;PROMEDICA PATRIMONIAL S A PROPAT;7141760297;1 110806;;12/09/22;SALVADOR;BA;SALVADOR / BA;14/09/22 07:48;CHEGADA EM UNIDADE;AGB;Chegada na unidade SALVADOR em 14/09/22, 07:48h.;;15/09/22;32220908860184000171570020001753511005285050 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;13.420.617/0003-70;GEM ASSISTENCIA MEDICA ESPECIALIZADA SA;7141760483;1 110749;;12/09/22;SALVADOR;BA;SALVADOR / BA;14/09/22 07:48;CHEGADA EM UNIDADE;AGB;Chegada na unidade SALVADOR em 14/09/22, 07:48h.;;15/09/22;32220908860184000171570020001753761005285660 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;15.170.723/0001-06;LIGA AL.BAHIA CONTRA MORT. INFANTIL;7141772082;1 110835;;13/09/22;SALVADOR;BA;CARIACICA / ES;13/09/22 22:56;SAIDA DE UNIDADE;AGB;Saida da unidade CARIACICA em 13/09/22, 22:56h. Previsao de chegada na unidade SALVADOR em 14/09/22, 18:56h.;;16/09/22;32220908860184000171570020001765861005323017 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;15.153.745/0002-49;SANTA CASA DE MISERICORDIA DA BAHIA;7141772066;1 110834;;13/09/22;SALVADOR;BA;CARIACICA / ES;13/09/22 22:56;SAIDA DE UNIDADE;AGB;Saida da unidade CARIACICA em 13/09/22, 22:56h. Previsao de chegada na unidade SALVADOR em 14/09/22, 18:56h.;;16/09/22;32220908860184000171570020001765871005322999 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;13.808.803/0001-19;PROMEDICA PATRIMONIAL S A PROPAT;7141772031;1 110836;;13/09/22;SALVADOR;BA;CARIACICA / ES;13/09/22 22:56;SAIDA DE UNIDADE;AGB;Saida da unidade CARIACICA em 13/09/22, 22:56h. Previsao de chegada na unidade SALVADOR em 14/09/22, 18:56h.;;16/09/22;32220908860184000171570020001765921005322964 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;13.808.803/0001-19;PROMEDICA PATRIMONIAL S A PROPAT;7141772031;1 110837;;13/09/22;SALVADOR;BA;CARIACICA / ES;13/09/22 22:56;SAIDA DE UNIDADE;AGB;Saida da unidade CARIACICA em 13/09/22, 22:56h. Previsao de chegada na unidade SALVADOR em 14/09/22, 18:56h.;;16/09/22;32220908860184000171570020001765921005322964 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;13.518.634/0001-82;HOSPITAL DAS CLINICAS DE ALAGOINHAS S.A.;7141772074;1 110849;;13/09/22;ALAGOINHAS;BA;CARIACICA / ES;13/09/22 22:56;SAIDA DE UNIDADE;AGB;Saida da unidade CARIACICA em 13/09/22, 22:56h. Previsao de chegada na unidade SALVADOR em 14/09/22, 18:56h.;;21/09/22;32220908860184000171570020001765881005323003 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;15.153.745/0002-49;SANTA CASA DE MISERICORDIA DA BAHIA;7141772066;1 110860;;13/09/22;SALVADOR;BA;CARIACICA / ES;13/09/22 22:56;SAIDA DE UNIDADE;AGB;Saida da unidade CARIACICA em 13/09/22, 22:56h. Previsao de chegada na unidade SALVADOR em 14/09/22, 18:56h.;;16/09/22;32220908860184000171570020001765871005322999 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;00.132.229/0001-80;ONCOMED CENTRO PREV E TRAT DE DOENCAS;7141772058;1 110886;;13/09/22;BELO HORIZONTE;MG;CARIACICA / ES;13/09/22 21:31;SAIDA DE UNIDADE;AGB;Saida da unidade CARIACICA em 13/09/22, 21:31h. Previsao de chegada na unidade BELO HORIZONTE em 14/09/22, 09:31h.;;16/09/22;32220908860184000171570020001765891005322985 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;00.132.229/0001-80;ONCOMED CENTRO PREV E TRAT DE DOENCAS;7141772058;1 110883;;13/09/22;BELO HORIZONTE;MG;CARIACICA / ES;13/09/22 21:31;SAIDA DE UNIDADE;AGB;Saida da unidade CARIACICA em 13/09/22, 21:31h. Previsao de chegada na unidade BELO HORIZONTE em 14/09/22, 09:31h.;;16/09/22;32220908860184000171570020001765891005322985 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;00.132.229/0001-80;ONCOMED CENTRO PREV E TRAT DE DOENCAS;7141772058;1 110887;;13/09/22;BELO HORIZONTE;MG;CARIACICA / ES;13/09/22 21:31;SAIDA DE UNIDADE;AGB;Saida da unidade CARIACICA em 13/09/22, 21:31h. Previsao de chegada na unidade BELO HORIZONTE em 14/09/22, 09:31h.;;16/09/22;32220908860184000171570020001765891005322985 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;17.513.235/0002-60;ASSOCIACAO MARIO PENNA HOSP.LUXEMBU;7141760491;1 110740;;12/09/22;BELO HORIZONTE;MG;BELO HORIZONTE / MG;13/09/22 20:00;CHEGADA EM UNIDADE;AGB;Chegada na unidade BELO HORIZONTE em 13/09/22, 20:00h.;;15/09/22;32220908860184000171570020001753771005285676 
10.586.940/0001-68;ONCOVIT DISTRIBUIDORA DE MEDICAMENTOS LTDA;17.513.235/0002-60;ASSOCIACAO MARIO PENNA HOSP.LUXEMBU;;013259;;;;;CARIACICA / ES;13/09/22 17:25;COLETA REALIZADA (CARREGADA NO VEICULO);AGB;COLETA REALIZADA (CARREGADA NO VEICULO).;;; 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;15.934.094/0001-43;SANTA CASA MIS SANTO ANTONIO DE JESUS;7141669249;1 110190;;29/08/22;SANTO ANTONIO DE JESUS;BA;CARIACICA / ES;13/09/22 16:07;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001663261005004128</u></a> - VIA API.;31/08/22;01/09/22;32220808860184000171570020001663261005004128 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;03.069.914/0002-88;INSTITUTO CONQUISTENSE DE ONCOLOGIA;7141760271;1 110772;;12/09/22;VITORIA DA CONQUISTA;BA;VITORIA DA CONQUISTA / BA;13/09/22 15:58;CHEGADA EM UNIDADE;AGB;Chegada na unidade VITORIA DA CONQUISTA em 13/09/22, 15:58h.;;15/09/22;32220908860184000171570020001753521005285014 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;03.069.914/0002-88;INSTITUTO CONQUISTENSE DE ONCOLOGIA;7141760271;1 110773;;12/09/22;VITORIA DA CONQUISTA;BA;VITORIA DA CONQUISTA / BA;13/09/22 15:58;CHEGADA EM UNIDADE;AGB;Chegada na unidade VITORIA DA CONQUISTA em 13/09/22, 15:58h.;;15/09/22;32220908860184000171570020001753521005285014 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;03.069.914/0002-88;INSTITUTO CONQUISTENSE DE ONCOLOGIA;7141760271;1 110793;;12/09/22;VITORIA DA CONQUISTA;BA;VITORIA DA CONQUISTA / BA;13/09/22 15:58;CHEGADA EM UNIDADE;AGB;Chegada na unidade VITORIA DA CONQUISTA em 13/09/22, 15:58h.;;15/09/22;32220908860184000171570020001753521005285014 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;03.069.914/0002-88;INSTITUTO CONQUISTENSE DE ONCOLOGIA;7141760271;1 110771;;12/09/22;VITORIA DA CONQUISTA;BA;VITORIA DA CONQUISTA / BA;13/09/22 15:58;CHEGADA EM UNIDADE;AGB;Chegada na unidade VITORIA DA CONQUISTA em 13/09/22, 15:58h.;;15/09/22;32220908860184000171570020001753521005285014 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;33.804.212/0001-80;CLINICA SAO CARLOS S.A.;7141760505;1 110792;;12/09/22;RIO DE JANEIRO;RJ;RIO DE JANEIRO / RJ;13/09/22 15:11;MERCADORIA ENTREGUE;AGB;MERCADORIA ENTREGUE EM 13/09/22 15:11H RECEBIDO POR TIAGO PRATA, PARENTESCO: FUNCIONARIO - INFORMADA ATRAVES DA CHAVE 32220908860184000171570020001753781005285681 - SSWMOBILE  DOC N.: 21888752-9.;13/09/22;14/09/22;32220908860184000171570020001753781005285681 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;30.636.935/0001-20;PATA CHIC COMERCIO SERVICO E CLINICA VET;7141677535;1 110287;;30/08/22;ITABUNA;BA;CARIACICA / ES;13/09/22 15:10;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001671541005031018</u></a> - VIA API.;01/09/22;02/09/22;32220808860184000171570020001671541005031018 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;14.349.740/0002-23;SANTA CASA DE MISERICORDIA DE ITABUNA;7141677560;1 110226;;30/08/22;ITABUNA;BA;CARIACICA / ES;13/09/22 15:10;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001671601005031058</u></a> - VIA API.;01/09/22;02/09/22;32220808860184000171570020001671601005031058 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;34.440.073/0001-16;CENTRO MEDICO HOSPITALAR ONCOLOGICO;7141669150;1 110156;;29/08/22;ITABUNA;BA;CARIACICA / ES;13/09/22 14:42;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001663371005004032</u></a> - VIA API.;31/08/22;01/09/22;32220808860184000171570020001663371005004032 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;03.069.914/0002-88;INSTITUTO CONQUISTENSE DE ONCOLOGIA;7141669141;1 110116;;29/08/22;VITORIA DA CONQUISTA;BA;CARIACICA / ES;13/09/22 10:36;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001663321005004028</u></a> - VIA API.;31/08/22;01/09/22;32220808860184000171570020001663321005004028 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;03.069.914/0002-88;INSTITUTO CONQUISTENSE DE ONCOLOGIA;7141669141;1 110115;;29/08/22;VITORIA DA CONQUISTA;BA;CARIACICA / ES;13/09/22 10:36;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001663321005004028</u></a> - VIA API.;31/08/22;01/09/22;32220808860184000171570020001663321005004028 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;17.180.725/0001-01;AMO ILHEUS  ASS MULTIDISCIPLINAR EM ONCOLOGIA;7141628909;1 109880;;23/08/22;ILHEUS;BA;CARIACICA / ES;13/09/22 10:34;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001623571004880534</u></a> - VIA API.;27/08/22;26/08/22;32220808860184000171570020001623571004880534 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;16.205.262/0001-22;SERVICO DE ASSISTENCIA MEDICA E URGENCIA;7141669133;1 110109;;29/08/22;VITORIA DA CONQUISTA;BA;CARIACICA / ES;13/09/22 10:12;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001663301005004015</u></a> - VIA API.;31/08/22;01/09/22;32220808860184000171570020001663301005004015 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;16.205.262/0001-22;SERVICO DE ASSISTENCIA MEDICA E URGENCIA;7141669133;1 110108;;29/08/22;VITORIA DA CONQUISTA;BA;CARIACICA / ES;13/09/22 10:12;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001663301005004015</u></a> - VIA API.;31/08/22;01/09/22;32220808860184000171570020001663301005004015 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;03.069.914/0002-88;INSTITUTO CONQUISTENSE DE ONCOLOGIA;7141598147;1 109694;;18/08/22;VITORIA DA CONQUISTA;BA;CARIACICA / ES;13/09/22 09:51;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220808860184000171570020001592281004785486</u></a> - VIA API.;22/08/22;23/08/22;32220808860184000171570020001592281004785486 
